"""  title""  ";" "" beschrijving"" "
"""  Gent: Sint-Lievenspoortstraat, bouwaanvraag van Jan Clocman, 1716""  ";" "" Bouwheer: Clocman, Jan."" "
"""  Gent: Sint-Lievenspoortstraat, bouwaanvraag van Livinus Neggelput, 1721""  ";" "" Bouwheer: Neggelput, Livinus."" "
"""  Gent: Sint-Katelijnestraat, bouwaanvraag van de le Court, 1787""  ";" "" Bouwheer: de le Court."" "
"""  Gent: Sint-Katelijnestraat, bouwaanvraag van Pieter Frans de Meulemeester, 1791""  ";" "" Bouwheer: de Meulemeester, Pieter Frans."" "
"""  Gent: Sint-Katelijnestraat, bouwaanvraag van P. vander Haeghen, 1795""  ";" "" Bouwheer: vander Haeghen, P."" "
"""  Gent: Gelukstraat, bouwaanvraag van Francies Hersyn, 1783""  ";" "" Bouwheer: Hersyn, Francies."" "
"""  Gent: Sint-Katelijnestraat, bouwaanvraag van Pieter Frans de Meulemeester, 1787""  ";" "" Bouwheer: de Meulemeester, Pieter Frans."" "
"""  Gent: Sint-Katelijnestraat, bouwaanvraag van vanden Abeele, 1782""  ";" "" Bouwheer: vanden Abeele."" "
"""  Gent: Gelukstraat, bouwaanvraag van Maximiliaen Hegghericx, 1782""  ";" "" Bouwheer: Hegghericx, Maximiliaen."" "
"""  Gent: Sint-Katelijnestraat, bouwaanvraag van Joannes Defry, 1757""  ";" "" Bouwheer: Defry, Joannes."" "
"""  Gent: Sint-Katelijnestraat, bouwaanvraag van Judocus van Overwaele, 1768""  ";" "" Bouwheer: van Overwaele, Judocus."" "
"""  Gent: Sint-Katelijnestraat, bouwaanvraag van Pieter Frans de Meulemeester, 1775""  ";" "" Bouwheer: de Meulemeester, Pieter Frans."" "
"""  Gent: Goudstraat, bouwaanvraag van Pieter Moreau, 1707""  ";" "" Bouwheer: Moreau, Pieter."" "
"""  Gent: Sint-Katelijnestraat, bouwaanvraag van Catharine de Moerloose, 1749""  ";" "" Bouwheer: de Moerloose, Catharine. Beschrijving van de werken: Koetspoort in de Sint-Katelijnestraat van het huis aan de Oudevest."" "
"""  Gent: Sint-Jorisbrug (nu Joremaaie), bouwaanvraag van Frans van Auweghem, 1754""  ";" "" Bouwheer: van Auweghem, Frans."" "
"""  Gent: Sint-Katelijnestraat, bouwaanvraag van Joannes Bellemans en Joannes Aerts, 1701""  ";" "" Bouwheer: Bellemans, Joannes Aerts, Joannes."""
"""  Gent: Sint-Katelijnestraat, bouwaanvraag van Steven de Munck, 1705""  ";" "" Bouwheer: de Muynck, Steven."" "
"""  Gent: Sint-Jansvest, bouwaanvraag van J.B.L. Boulez, 1786""  ";" "" Bouwheer: Boulez, J.B.L."" "
"""  Gent: Sint-Jansvest, bouwaanvraag van Joseph Couvreur, 1786""  ";" "" Bouwheer: Couvreur, Joseph."" "
"""  Gent: Sint-Jansvest, bouwaanvraag van Francois Bracq, 1777""  ";" "" Bouwheer: Bracq, Francois."" "
"""  Gent: Sint-Jansvest, bouwaanvraag van Guillielmus Clement, 1778""  ";" "" Bouwheer: Clement, Guillielmus."" "
"""  Gent: Sint-Jansvest, bouwaanvraag van Pieter Haesebaut, 1775""  ";" "" Bouwheer: Haesebaut, Pieter."" "
"""  Gent: Sint-Jansvest, bouwaanvraag van Pieter Haesebaut, 1776""  ";" "" Bouwheer: Haesebaut, Pieter."" "
"""  Gent: Sint-Jansvest, bouwaanvraag van Isabelle de Riviers, 1758""  ";" "" Bouwheer: de Riviers, Isabelle."" "
"""  Gent: Sint-Jansvest, bouwaanvraag van Pierre Braet, 1769""  ";" "" Bouwheer: Braet, Pierre."" "
"""  Gent: Sint-Jansvest, bouwaanvraag van Hugo de Zutter, 1771""  ";" "" Bouwheer: de Zutter, Hugo."" "
"""  Gent: Sint-Jansvest, bouwaanvraag van graaf Charles Francois de Lichtervelde 1741""  ";" "" Bouwheer: de Lichtervelde, Charles Francois, graaf."" "
"""  Gent: Sint-Jansvest, bouwaanvraag van weduwe Nicolais Lippens, 1754""  ";" "" Bouwheer: Lippens, Nicolais weduwe."" "
"""  Gent: Sint-Jansvest, bouwaanvraag van Adriaen de Raeve, 1714""  ";" "" Bouwheer: de Raeve, Adriaen."" "
"""  Gent: Sint-Jansvest, bouwaanvraag van Jan Cent, 1727""  ";" "" Bouwheer: Cent, Jan."" "
"""  Gent: Sint-Jansvest, bouwaanvraag van Joanne Catharine Heijlijnck, 1738""  ";" "" Bouwheer: Heijlijnck, Joanne Catharine."" "
"""  Gent: Sint-Jansstraat (nu Sint-Baafsplein - Limburgstraat), bouwaanvraag van Francois de Brauwere, 1791""  ";" "" Bouwheer: de Brauwere, Francois."" "
"""  Gent: Sint-Jansstraat (nu Sint-Baafsplein - Limburgstraat), bouwaanvraag van Jean Ferraert, 1779""  ";" "" Bouwheer: Ferraert, Jean."" "
"""  Gent: Sint-Jansstraat (nu Sint-Baafsplein - Limburgstraat), bouwaanvraag van Joannes Hofman, 1790""  ";" "" Bouwheer: Hofman, Joannes."" "
"""  Gent: Sint-Jansstraat (nu Sint-Baafsplein - Limburgstraat), bouwaanvraag van Charles weduwe de Beause, 1791""  ";" "" Bouwheer: de Beause, Charles weduwe."" "
"""  Gent: Sint-Jansstraat (Sint-Baafsplein), bouwaanvraag van Joannes Defry, 1774""  ";" "" Bouwheer: Defry, Joannes."" "
"""  Gent: Sint-Jansstraat (Sint-Baafsplein), bouwaanvraag van Frans Say, 1778""  ";" "" Bouwheer: Say, Frans."" "
"""  Gent: Sint-Jansstraat (nu Sint-Baafsplein - Limburgstraat), bouwaanvraag van Joannes Voet, 1765""  ";" "" Bouwheer: Voet, Joannes."" "
"""  Gent: Sint-Jansstraat (nu Sint-Baafsplein - Limburgstraat), bouwaanvraag van het Sint-Baafskapittel, 1771""  ";" "" Bouwheer: Sint-Baafskapittel. Architect: Jan Baptist Simoens."" "
"""  Gent: Sint-Jansstraat (nu Sint-Baafsplein - Limburgstraat), bouwaanvraag van Martinus de Brauwere, 1738""  ";" "" Bouwheer: de Brauwere, Martinus."" "
"""  Gent: Sint-Jansstraat (nu Sint-Baafsplein - Limburgstraat), bouwaanvraag van Pieter Joseph van Doorne, 1764""  ";" "" Bouwheer: van Doorne, Pieter Joseph."" "
"""  Gent: Sint-Jansstraat (nu Sint-Baafsplein - Limburgstraat), bouwaanvraag van Pieter Joseph van Doorne, 1764""  ";" "" Bouwheer: van Doorne, Pieter Joseph."" "
"""  Gent: Sint-Jansstraat (nu Sint-Baafsplein - Limburgstraat), bouwaanvraag van Jacques de Vriese, 1700""  ";" "" Bouwheer: de Vriese, Jacques."" "
"""  Gent: Sint-Jansstraat (nu Sint-Baafsplein - Limburgstraat), bouwaanvraag van anoniem, 1719""  ";" "" Bouwheer: anoniem. De bouwheer is mogelijks hoogbaljuw."" "
"""  Gent: Sint-Jacobsnieuwstraat, bouwaanvraag van Christianus Josephus de Smet, 1789""  ";" "" Bouwheer: de Smet, Christianus Josephus."" "
"""  Gent: Sint-Jansstraat (nu Sint-Baafsplein - Limburgstraat), bouwaanvraag van Philippus Wauman, 1698""  ";" "" Bouwheer: Wauman, Philippus."" "
"""  Gent: Sint-Jacobsnieuwstraat, bouwaanvraag van Livinus van Gansberghe, 1781""  ";" "" Bouwheer: van Gansberghe, Livinus."" "
